rank,wcaId,name,single,average,single_score,average_score
93,2016HRYN02,Vladyslav Hryniuk,340.72,380.94,88.08,86.71
94,2017AGUI15,Marco Antonio,341.18,361.29,88.03,88.92
95,2013RIGO01,Richmond Mico,341.23,375.25,88.02,87.37
96,2014VORL01,Marco Vorländer,341.24,369.27,88.02,88.05
97,2016MART29,Artyom Martirosov,342.37,381.63,87.88,86.63
98,2016INAB01,Matty Hiroto,342.39,363.68,87.88,88.66
99,2012CHON03,Zhao-Zhe Zhong,343.06,377.66,87.8,87.09
100,2016HOLZ01,Laura Holzhauer,343.15,379.1,87.79,86.93
101,2016GONG02,Andy Gong,344.01,374.92,87.68,87.41
102,2015ZHEN20,He-Ping Zheng,344.29,370.3,87.65,87.93
103,2012GONZ10,Eder Olivencia,344.56,378.32,87.61,87.02
104,2011ETTE01,Lucas Etter,344.59,382.81,87.61,86.49
105,2015LEEJ12,Jason Lee,344.91,381.98,87.57,86.59
106,2012SHAV01,Vladislav Shavelskiy,345.39,370.59,87.51,87.9
107,2010BREC01,John Brechon,345.5,372.92,87.5,87.64
108,2013OWCZ01,Bartłomiej Owczarek,346.24,401.19,87.4,84.2
109,2013KOBA01,Tomohiro Kobayashi,346.37,376.82,87.39,87.19
110,2011CAOS01,Sheng Cao,346.54,376.05,87.37,87.28
111,2017GOLU01,Theo Iván,347.3,391.6,87.27,85.42
112,2016YONG02,Tristan Chua,347.63,371.66,87.23,87.78
113,2015PARK13,Danny SungIn,347.91,380.21,87.19,86.8
114,2016OLZI01,Myagmardorj Ulziijargal,348.03,387.56,87.18,85.92
115,2012MCNE01,Jayden McNeill,348.22,384.02,87.16,86.34
116,2016YANG84,Yap Jia,348.48,373.28,87.12,87.6
117,2015KANS01,Magnus Patrick,348.77,376.94,87.09,87.18
118,2017SUKH02,Ihor Sukhovatenko,349.0,379.55,87.06,86.87
119,2010HULL01,Katie Hull,349.28,378.33,87.02,87.02
120,2006TSAI03,Yueh-Lin Tsai,349.29,382.97,87.02,86.47
121,2017KIRB01,Ben Kirby,349.63,375.38,86.98,87.36
122,2011WANG30,Jingzheng Wang,350.07,385.73,86.92,86.14
123,2016IHLE01,Malte Ihlefeld,350.31,389.19,86.89,85.72
124,2015ZHYD01,Vladyslav Zhydkov,350.41,389.57,86.88,85.67
125,2015CHER07,Tommy Cherry,350.68,382.92,86.84,86.47
126,2016ROLZ01,Alwin Rölz,350.98,386.02,86.8,86.1
127,2013SHIT01,Sergey Shitov,352.98,383.73,86.55,86.38
128,2011WELC01,Walker Welch,353.2,379.83,86.52,86.84
129,2008GANC02,Kam Chor,353.63,379.84,86.46,86.84
130,2010LANE02,Mitchell Lane,354.69,385.92,86.32,86.11
131,2008LIKA01,Kailong Li,354.7,374.35,86.32,87.47
132,2014NORD02,Amos Nordman,355.84,383.26,86.17,86.43
133,2016ZATR01,Tomáš Zatroch,355.84,387.03,86.17,85.98
134,2015MARB01,Marjorie Marbly,356.12,383.34,86.14,86.42
135,2014CHER05,Clément Cherblanc,356.49,388.3,86.09,85.82
136,2013FRON01,Martin Fronescu,356.89,382.71,86.03,86.5
137,2013BOTZ01,Alexander Botz,356.9,379.58,86.03,86.87
138,2019YANG94,Cian-Jyun Yang,357.3,384.34,85.98,86.3
139,2015AROR02,Arnav Arora,357.39,386.19,85.97,86.08
140,2012SORI01,Nathan Soria,357.57,404.77,85.94,83.74
141,2017SAKA03,Kazuki Sakamoto,357.74,386.48,85.92,86.05
142,2008WEST02,Simon Westlund,358.69,389.34,85.8,85.7
