Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Sreeram Venkatarao,USA,DixonWinter2016,25.32,25.45,25.84,25.19
Kaijun Lin (林恺俊),China,Guangzhou3x3Days2016,25.38,25.45,23.56,27.41
Sreeram Venkatarao,USA,MichiganCubingClubAlpha2016,12.48,25.45,26.41,37.46
Kaijun Lin (林恺俊),China,QuietAnHuiUniversity2016,22.04,25.45,22.94,31.37
Kaijun Lin (林恺俊),China,NanjingSpring2016,21.96,25.45,25.28,29.11
Kaijun Lin (林恺俊),China,CubeofOddNumbers2016,26.98,24.97,23.39,24.54
Kaijun Lin (林恺俊),China,HefeiOpen2016,25.8,24.72,22.27,26.09
Gianfranco Huanqui,Peru,NacionalPerubik2016,13.23,24.72,34.17,26.76
Jong-Ho Jeong (정종호),Korea,KoreanChampionship2016,17.73,24.72,24.6,31.83
Kaijun Lin (林恺俊),China,CrossstraitCubing2016,22.23,24.72,28.08,23.85
Gianfranco Huanqui,Peru,LimaRubik2016,29.47,24.72,22.75,21.94
Gianfranco Huanqui,Peru,AsianChampionship2016,19.08,24.65,23.6,31.27
Gianfranco Huanqui,Peru,AsianChampionship2016,22.02,24.65,24.46,27.47
Kabyanil Talukdar,India,AsianChampionship2016,14.57,24.65,25.68,33.7
Kaijun Lin (林恺俊),China,TKKOpen2016,30.49,24.65,22.27,21.19
Kaijun Lin (林恺俊),China,ShanghaiWinterisComing2016,23.81,24.65,27.17,22.97
Kaijun Lin (林恺俊),China,BignBlind2016,24.98,24.38,21.2,26.96
Kaijun Lin (林恺俊),China,ZUAOpen2017,18.57,24.12,27.98,25.81
Ishaan Agrawal,USA,Eugene3x3Mania2017,6.95,24.12,37.31,28.1
