Competition,Optimal Length,Optimal Solution,Scramble,Round,Group,Scramble Num
MasovianOpen2015,9,F'URF2U'R'FR'F',R U2 R2 U F' U' R U R F' U2,f,A,2
EmpireStateSummerB2021,9,F'RU2RFU'R2F'U',F U' R U' R U' F' R2 U2 R2 U2,1,G,3
CanadianOpen2015,9,UR'UF2U'FUF2U',R' F R U2 R2 F R U' R U R,1,B,1
SSTRzeszow2021,9,FR2FU'F2R2FRU',R U' R2 F2 R U2 R U2 R2 U' F,f,A,1
WelwynGardenCity2015,9,U2RU'RF'RFR2F,U2 R' F U2 R2 U2 R F' U2 F' U2,1,C,3
SSTWarszawa2021,9,U'F2U'R'F2R'URU',U' F U2 R U' R' U R' U' F U2,1,D,3
PolishChampionship2021,9,U'R2FU'RF2RUF',U2 R F' R2 U' R' U' R U' R F',d,A,2
FranconiaWinter2014,9,RFU2F2UFRUR2,U R' U R' U F' U2 R U R U',1,B,2
FranconiaWinter2014,9,F'UFU'FR'UF'U,F U2 F' U' R2 U' R' U2 R' U' R2,1,A,2
PolishChampionship2021,9,UF2R2U2RU2R'UF,U R' F' R' F U' F U' R U' R',d,B,2
PolishChampionship2021,9,FR'U'RUR'FU'F2,U R F' R' U R' U' R2 U2 R' U2,d,C,2
PolishChampionship2021,9,U'R2FU'R2FR'FR,R2 F R F U' F R2 U' R' U R',d,D,2
KeepAustinWeird2014,9,FRUR2F'U2FR2F,R U R F' U' F' U' R2 U' F' U',f,B,2
PolishChampionship2021,9,UF2U2F'RU'R2FR2,R2 F' R U F U2 R U R' U' F,d,E,2
DanishChampionship2021,9,F'U2R'FUF'R2U2F',R' F2 U' R2 U' R2 F U2 R F U2,1,A,3
MumbaiSummerOpen2014,9,R2U'RF'U'FR'UF2,R' U F' R2 U' R2 U2 R U R2 F,f,B,4
DanishChampionship2021,9,FU'F'R'UFR'UF',U' R' U2 R2 U' R' U2 R' F2 U' F,1,B,3
WelwynGardenCity2014,9,F2U'RU2RF2URF2,U R' U' R' U2 R' F R U2 R' F,f,A,1
