Delegate,Scrambles,E[Moves],4 moves%,5 moves%,6 moves%,7 moves%,8 moves%,9 moves%,10 moves%,11 moves%
Fangyuan Chang (常方圆),4168,8.76,0.02,0.14,1.37,6.24,23.92,51.27,16.99,0.05
Akash Rupela,4158,8.76,0.02,0.24,1.18,6.4,23.45,51.44,17.2,0.07
Blake Thompson,77,8.66,0.0,0.0,2.6,5.19,28.57,50.65,12.99,0.0
Mahmoud Ibrahim,28,8.89,0.0,0.0,0.0,3.57,28.57,42.86,25.0,0.0
Julien Gaboriaud,28,8.39,0.0,0.0,10.71,7.14,21.43,53.57,7.14,0.0
Mitchell Lane,28,8.82,0.0,3.57,0.0,0.0,14.29,71.43,10.71,0.0
Nitin Subramanian,252,8.76,0.0,0.0,1.19,6.75,23.41,51.98,16.67,0.0
Mateo Rodríguez,245,8.64,0.0,0.82,1.63,6.53,25.31,54.69,11.02,0.0
Can Ersoy,245,8.74,0.0,0.41,1.22,6.12,25.71,48.98,17.55,0.0
Pablo Eduardo Nikolais Teixeira Bonifácio da Silva,245,8.8,0.0,0.0,1.22,5.31,24.08,51.43,17.96,0.0
Chris Braiedy,245,8.8,0.0,0.0,0.82,5.31,22.86,54.69,16.33,0.0
Enrymar Cisneros,245,8.75,0.0,0.41,0.41,4.9,27.76,51.02,15.51,0.0
Michael Chai (柴天方),287,8.76,0.0,0.0,1.05,6.97,22.65,54.01,14.98,0.35
Gunnar Kantare Krig,238,8.74,0.0,0.42,1.68,7.98,22.69,48.32,18.91,0.0
Jānis Zirnis,294,8.8,0.0,0.0,1.36,4.42,26.53,48.64,19.05,0.0
