Competition,Event,Round,Group,Scramble Num,Scramble
ArcadiaSummer2019,333,2,B,3,R L2 F' U' D2 F' D F' R U2 R2 B2 U' R2 D2 F2 D R2 B2
SantoDomingoSummer2019,333,2,A,2,R2 U B' R2 D' R U' R' F2 L U2 R2 L2 F2 U2 D F2 D2 R2 U'
JakartaOpen2019,333,2,A,1,D' L2 D2 U B2 F2 L2 B2 F' D U2 R' F2 L B2 R' D B' D'
IGA2019,333,2,B,4,L2 D2 R2 U2 B2 D2 R U2 R2 D B2 F' D' F' L D' F' U' F2
WacoCubeAssembly2019,333,1,A,4,D' F2 D' F2 R2 D R2 U2 F' U2 L' U L F' D2 F' R' F
DanishOpen2019,333,1,B,4,L2 U R2 L2 U' R2 U2 F' U' B2 D2 R' U2 D2 R' U2 D2 F2 R D2
ShenzhenOpen2019,333,1,E,1,D R2 D R2 B2 U' F2 L' B L2 D2 U2 B R D2 U2 L U
FortitudeSydney2019,333,2,D,3,R' B D' F L2 F B L' B' R F2 D2 F2 U2 F2 L' F2 L B2 L2
PreboldOpen2019,333,2,B,5,U' B2 U R2 F2 D2 R2 U' L F' D' B' D2 F2 D2 B' U2 L2 R
IItapeOpen2019,333,1,B,4,R2 D R2 U' F2 U' F2 R2 U2 F R2 B' D' U2 L' R2 U' L' R
KjellerOpen2019,333,1,C,1,B2 L F2 L B2 L2 D2 L' B2 F U2 R2 D L2 U B' D2 U' L2
BadenWurttembergOpen2019,333,f,B,1,U' B R2 L F L' F D R2 F R2 D2 F2 D2 R2 B' L2 F'
AZCubingWinter2019,333,f,A,2,U2 R2 U2 B' F U2 B L2 F L2 R' B2 L2 D' B D2 B D R' U
CultAWayCubeOpen2020,333,f,A,1,B' U2 F' D2 B' D2 F L2 U B2 R' D U B' F' R F R' B'
CebuOpen2020,333,1,B,5,F2 L' D2 L F2 R' U2 L2 B D' L D R2 B' D2 U2 L2 F' R2
KanazawaOpen2020,333,f,A,1,B2 U L2 B2 D2 R2 D2 R2 F2 U' R2 F' R' B2 D B2 F' D' U2 R2
FrankfurtCubeDays2020,333,f,A,4,D' U L2 R2 U B2 R2 U2 R2 F L2 R' D' U' R' D' B F2 L
MuddWinter2020,333,1,A,2,F' L2 B L D F R L' D R2 F2 U2 B2 L2 F2 R L2 D2 L' U2
CubopiaOpen2020,333,2,B,1,F2 R D2 R' B2 L2 R' U' R2 F U2 R D F R' B2 F L2
ShowgroundShowdown2021,333,1,C,5,U L' R' B2 R' F2 D2 R2 D2 B D F D' B U2 L' F U2
BogoroditskOpen2021,333,1,D,1,L R B2 F2 D2 L R2 D2 B' F D B2 U' F' D' F2 D U'
BucharestCubingDays2021,333,2,A,1,U R' B' L2 F2 D F2 L2 B2 U' R' U' B' U' R2 F R'
