name,country,minx
Sameer Aggarwal,USA,890
Aolin Tang (唐奥林),China,889
James Gonsalves,India,889
Conan Mo,Australia,889
Gabriel Santiago Velez Gonzalez,Colombia,889
Bill Hammill,United Kingdom,889
Tomohiro Kobayashi (小林知広),Japan,889
Camerone Chin,New Zealand,889
Aset Agabekov (Асет Агабеков),Kazakhstan,889
Naren Loganathan,USA,888
Sam van Vliet,Australia,888
Timo Günthardt,Switzerland,888
Varun Mohanraj,USA,888
Joonas Silvennoinen,Finland,888
Jakub Hamkało,Poland,888
Gerard McGinley,Australia,887
Piotr Olszewski,Poland,887
Willi Mickein,Germany,887
Braden Richards,USA,887
Vladimir Fedorov,Russia,886
Maksim Cheranyov (Максим Черанёв),Kazakhstan,886
Rafae Rajani,Australia,886
Magnus Søndergaard Byrne,Denmark,886
Luke Heath-Edwards,New Zealand,886
Raffael Simonet,Switzerland,886
Alexander Batz,Guatemala,886
Max Xiong (熊锐明),China,886
Nick Nijssen,Netherlands,885
Chong Hau Han,Malaysia,885
Magnus Bester,South Africa,885
Vladyslav Zhydkov (Владислав Жидков),Ukraine,885
Zachary Ochs,USA,885
Samuel Janssen,Belgium,883
Henry Won Kai Sheng,Malaysia,883
Tom Chiesura,France,883
Saveliy Surikov,Russia,883
Dimitrije Vlajić,Serbia,883
Huang-Bang Fang (房黃邦),Taiwan,882
Charlie Harrison,United Kingdom,882
Nicolas Harper,USA,881
Zhitian Chen (陈知湉),China,881
Helmer Ewert,Sweden,881
Michael Alexander,Australia,881
Yunhui Zhao (赵云晖),China,881
Walker Welch,USA,880
Daniel Rush,South Africa,880
Michał Mlostek,Poland,880
Novaleigh Bui Nghi,Vietnam,880
Maverick Pearson,South Africa,880
James Arellano,USA,880
Mostafa Belal Elfaggal,Egypt,880
Kim Min (김민),Korea,880
Dylan Beetge,Australia,879
Yiqun Liu (刘轶群),China,879
Sam Myung,USA,879
Tobias Peter,Switzerland,879
Maksymilian Majcher,Poland,879
Manuel Gutman,Argentina,879
Sarah Cook,USA,878
Darya Belonogova,Russia,878
Ishaan Lal,USA,878
Shanawer Yaqoob,Australia,878
Davron Takhirov,Uzbekistan,877
Theo Hall,United Kingdom,877
Preston Duke,USA,877
Joaquin Abarca,Canada,876
Alexander Bashutkin,Russia,876
Lorenzo Mauro,Italy,876
George Scholey,United Kingdom,875
