name,country,clock
Konosuke Nishiyama (西山幸之介),Japan,798
Alexey Tsvetkov,Russia,798
Andrés Felipe Montoya,Colombia,797
Jacob Fanikos,USA,797
Clancy Caster,USA,797
Xuanwei Liang (梁轩玮),China,797
Ivan Kovach (Іван Ковач),Ukraine,796
Zhangyi Guo (郭张翼),China,796
Mattia Furlan,Italy,796
Chufan Cao (曹楚凡),China,796
Felipe Cardim,Brazil,796
Aleksey Zuev,Russia,795
Zhaohe Wang (王昭赫),China,795
Nancy Garcés Hazou,Bolivia,794
Travis Burkett,USA,794
Cezary Mach,Poland,794
Pedro Giuseppe Garcia Milla,Peru,793
Vadim Starostin (Вадим Старостин),Russia,793
Daniel Ramsden,United Kingdom,793
Max Murphy,Canada,793
Danil Truhin (Данил Трухи́н),Russia,793
Jan Riedl,Czech Republic,792
Bogdan Pominov (Богдан Поминов),Russia,792
Jesús Tadeo Perez Cardona,Mexico,792
Chad Harris,USA,792
Samip Bhattarai,Nepal,792
Lin Chen (陈林),China,792
Ying Lin (林颖),China,791
Artur Yuldashov (Артур Юлдашов),Kazakhstan,791
Bandar Al Aish,Bahrain,791
Mengfei Shen (沈梦非),China,791
Darren Siew Ee Yaang (蕭奕暘),Malaysia,790
Tamara Macadam,Australia,790
Dmitry Salakhov,Russia,790
Timothy Symons,Australia,789
Rasmus Händén,Sweden,789
Zhibo Xuan (禤志博),China,788
Kingston Harrop,New Zealand,788
Vladimir Tikhonenko (Владимир Тихоненко),Russia,788
Dohyun Kim (김도현),Korea,788
Jaxson Stove,New Zealand,787
Hang Li (黎珩),China,787
Muyan Li (黎暮彦),China,787
Roman Shilov (Роман Шилов),Russia,786
Vladyslav Zhydkov (Владислав Жидков),Ukraine,786
Chen Kang (亢晨),China,786
Maddie Clemmons,USA,786
Liang Chen (陈樑),China,785
Oleg Solomein (Олег Соломеин),Russia,785
Dadhania Het,India,784
Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),Thailand,784
Dalton Padgett,USA,784
Alessandro Nicolì,Italy,783
Chan Tak Chuen (陳德泉),Hong Kong,783
Hubert Badocha,Poland,783
Kevin Sulser,Switzerland,783
James Golding,United Kingdom,783
Axel Echeverria Langarica,Mexico,783
Ryota Shibuya (渋谷涼太),Japan,783
Andrew Karbusicky,USA,782
Ruben Fino,Australia,782
Yu Fu (付煜),China,782
Katie Hull,USA,782
Wenrui Qian (钱文睿),China,781
Juan Manuel Velásquez Rivera,Colombia,781
Weiqiao Sun (孙伟乔),China,781
Egor Romanov (Егор Романов),Russia,781
Lydwine Beelen,Netherlands,781
