name,country,pyram
Zhiyuan Ma (马之元),China,1011
Mikołaj Tyra,Poland,1011
Ksenia Esipova (Ксения Есипова),Russia,1011
Jose Polorhenzo Aquino,Philippines,1011
Jiaxuan Liu (刘佳璇),China,1011
Zihan Zhang (张子涵),China,1011
Cai Zhang (张材),China,1011
Lorenzo Gentili,Italy,1010
Graham Siggins,USA,1010
Joel Harrop,Australia,1010
Francesco Odorizzi,Italy,1010
Ryan Yasinko,Canada,1010
Zaky Kurnia Falah,Indonesia,1010
Nathaniel Thornell,USA,1010
Vladimir Semidyanov,Russia,1009
Bill Hammill,United Kingdom,1009
Manuel Gutman,Argentina,1009
Krishang Agarwal,India,1009
Csaba Farkas,Hungary,1009
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,1009
Nikolay Nikitin (Николай Никитин),Russia,1009
Vojtěch Kundera,Czech Republic,1009
Stepan Anisimov (Степан Анисимов),Russia,1009
Ivan Terekh,Belarus,1008
Mateusz Szulik,Poland,1008
Walker Welch,USA,1008
Austin Chen,USA,1008
Grzegorz Chudzik,Poland,1008
Andrey Mishin,Russia,1008
Joel David Hibbert,Australia,1008
Dilan Anand,Australia,1008
José Antonio Rozas-Peña Gaete,Chile,1008
Fedor Khokhryakov,Russia,1008
Evan Beltsis,Australia,1007
Robert Horvath,USA,1007
Kristen Young,USA,1007
Đoàn Anh Dũng,Vietnam,1007
Arham Islam,Australia,1007
Luis Angel Contreras Ospina,Colombia,1007
Zicheng He (贺子程),China,1007
Weiyi Zhang (张维一),China,1007
Adam Kędziorski,Poland,1007
Davron Takhirov,Uzbekistan,1007
Louis Skipper,New Zealand,1007
Yevhen Riabokon (Євген Рябоконь),Ukraine,1007
Yezhen Han (韩业臻),China,1007
Dylan Beetge,Australia,1007
Hargun Singh Tikku,India,1006
Kangze Wang (王康泽),China,1006
Ethan Hickman,Australia,1006
Jeremy Sheng,USA,1006
Erik Akkersdijk,Netherlands,1006
Vladislav Kozhin,Russia,1006
Xuanwei Liang (梁轩玮),China,1006
Yanchen Zhu (朱彦臣),China,1006
AJ Le,USA,1005
Aaron Huynh,USA,1005
Kaidyn Vince De Luca-Mazza,Australia,1005
Caleb Langan,Australia,1005
Grigorii Kuptsov (Григорий Купцов),Russia,1005
Rūdolfs Vīnkalns,Latvia,1005
Jiajun Gao (高嘉骏),China,1005
Daniel Eric Ryan,Australia,1004
Gerard McGinley,Australia,1004
Jaxson Stove,New Zealand,1004
Tommy Kiprillis,Australia,1004
Yoo-chan Hong (홍유찬),Korea,1004
Zexu Han (韩泽栩),China,1004
Yibo Wang (王一博),China,1004
Elian Beguec,France,1004
Ahmet Nadir Yücekaya,Turkey,1003
Zaiyang Zhang (张在旸),China,1003
Jan Zych,Poland,1003
Asher Kim-Magierek,USA,1003
Mihail Stoicescu,Romania,1003
Shuo Zhao (赵硕),China,1003
Ritvik Sharma,India,1002
Shubham Maharana,India,1002
Alina Palinchuk (Аліна Палінчук),Ukraine,1002
Justin He,Australia,1002
Fletcher Johns,New Zealand,1002
Pavel Eroshkin (Павел Ерошкин),Russia,1002
Samuel Curnow,Australia,1002
Yonghao Xu (徐永浩),China,1002
Mitchell Lane,USA,1002
Amarsanaa Enkhbaatar,Mongolia,1002
Andrey Kolevatykh (Андрей Колеватых),Russia,1001
Renato Pardo,Chile,1001
Edgar Galstyan,Russia,1001
Daniil Rublev (Даниил Рублёв),Russia,1001
Luc Rehfeld,Germany,1001
Nicholas Eppingstall,Australia,1001
Li Chak Kwan (李澤堃),Hong Kong,1001
Rostislav Votinsev,Russia,1001
Zicong Weng (翁子聪),China,1000
Joshua Weigt,USA,1000
Charles Downie,Australia,1000
Xinan He (何栖楠),China,1000
Joaquin Abarca,Canada,1000
Eli Hickman,Australia,1000
Nguyễn Duy Sơn,Vietnam,999
Ciarán Beahan,Ireland,999
Henry Asker,United Kingdom,999
Nikita Sviridov (Никита Свиридов),Russia,999
Hayden Kosadi,USA,999
Nolan Wood,USA,998
Polina Konopleva (Полина Коноплева),Russia,998
Jiahui Wang (王佳辉),China,998
Gaojian Pan (潘高健),China,998
Milhouse Gibbons-Paul,United Kingdom,998
Michael Bratko,Russia,998
Dylan Hughlett,USA,998
Cesar Leandro Alvarado,Argentina,998
Nikolay Vasilyev,Russia,998
Ainesh Sevellaraja,Malaysia,997
Lei He (贺雷),China,997
Ben Baron,Israel,997
Yongchang Wang (王永昌),China,997
Kasper Pasanen,Finland,997
Cyprian Doza,Poland,997
Kevin,Indonesia,997
Vladimir Sergeev,Russia,996
Maarten Schuil,Netherlands,996
Egor Gushchin,Russia,996
Arseniy Yotsyus,Russia,996
Azizah Nur Hayati,Indonesia,996
Ng Jia Quan (黄佳铨),Malaysia,996
Callum Prowse,New Zealand,996
Pavel Galaktionov,Russia,996
Dylan Baumbach,USA,996
Yujun Li (李钰钧),China,995
Owen Brooks,USA,995
